uid,years,minutes,sqrm,distance,renovate,express,price
13104-149,14,6,50,3.246960267,0,1,41000000
13104-150,14,6,55,3.246960267,0,1,64000000
13104-246,16,4,35,6.580371345,0,0,35000000
13104-249,10,6,45,6.580371345,0,0,48000000
13104-255,29,9,15,6.580371345,0,0,13000000
13104-256,16,4,35,6.580371345,0,0,33000000
13104-259,16,4,45,6.580371345,0,0,43000000
13104-264,16,4,45,6.580371345,0,0,36000000
13104-267,20,7,30,6.580371345,0,0,31000000
13104-268,10,6,45,6.580371345,0,0,35000000
13104-269,20,7,50,6.580371345,0,0,38000000
13104-275,15,10,20,6.580371345,1,0,16000000
13104-361,18,1,35,2.983801459,0,0,33000000
13104-362,35,3,25,2.983801459,0,0,18000000
13104-378,38,9,10,6.051806582,0,1,11000000
13104-383,38,9,15,6.051806582,0,1,9500000
13104-554,18,8,75,6.580371345,0,0,61000000
13104-555,18,3,20,6.580371345,0,0,21000000
13104-556,41,4,25,6.580371345,0,0,11000000
13104-557,11,4,45,6.580371345,0,0,45000000
13104-558,7,3,70,6.580371345,0,0,70000000
13104-559,21,4,65,6.580371345,0,0,63000000
13104-560,12,3,20,6.580371345,0,0,23000000
13104-562,47,6,25,6.580371345,1,0,18000000
13104-563,7,3,25,6.580371345,0,0,30000000
13104-565,15,7,40,6.580371345,0,0,27000000
13104-567,41,8,50,6.580371345,1,0,3300000
13104-568,30,9,20,6.580371345,0,0,13000000
13104-569,33,10,30,6.580371345,1,0,25000000
13104-570,11,4,35,6.580371345,0,0,35000000
13104-571,7,6,25,6.580371345,0,0,33000000
13104-572,11,5,20,6.580371345,0,0,25000000
13104-573,11,7,20,6.580371345,1,0,21000000
13104-574,11,6,15,6.580371345,0,0,25000000
13104-575,46,8,30,6.580371345,1,0,25000000
13104-576,9,7,25,6.580371345,0,0,27000000
13104-579,15,10,20,6.580371345,0,0,21000000
13104-580,12,7,20,6.580371345,0,0,25000000
13104-581,6,9,25,6.580371345,0,0,28000000
13104-582,33,10,20,6.580371345,0,0,12000000
13104-589,15,3,55,6.580371345,0,0,47000000
13104-590,46,8,50,6.580371345,1,0,33000000
13104-591,41,4,55,6.580371345,1,0,18000000
13104-592,21,5,65,6.580371345,0,0,50000000
13104-593,22,4,15,6.580371345,0,0,20000000
13104-594,16,9,70,6.580371345,1,0,62000000
13104-595,21,7,15,6.580371345,0,0,18000000
13104-596,13,4,20,6.580371345,0,0,26000000
13104-597,13,4,25,6.580371345,0,0,29000000
13104-598,21,4,65,6.580371345,0,0,49000000
13104-599,18,8,105,6.580371345,0,0,87000000
13104-603,12,5,20,6.580371345,0,0,26000000
13104-604,18,3,20,6.580371345,0,0,19000000
13104-605,7,6,25,6.580371345,0,0,29000000
13104-606,18,9,15,6.580371345,0,0,17000000
13104-607,12,6,20,6.580371345,0,0,27000000
13104-609,18,8,65,6.580371345,1,0,61000000
13104-610,47,6,30,6.580371345,0,0,8000000
13104-611,11,4,115,6.580371345,0,0,100000000
13104-612,18,3,20,6.580371345,0,0,23000000
13104-613,6,9,30,6.580371345,0,0,32000000
13104-618,34,8,20,6.580371345,0,0,17000000
13104-619,41,8,45,6.580371345,1,0,30000000
13104-620,18,8,75,6.580371345,1,0,67000000
13104-621,42,9,30,6.580371345,0,0,13000000
13104-622,6,8,40,6.580371345,0,0,41000000
13104-623,6,8,25,6.580371345,0,0,31000000
13104-624,12,4,20,6.580371345,0,0,20000000
13104-625,13,4,20,6.580371345,0,0,25000000
13104-626,12,3,20,6.580371345,0,0,27000000
13104-628,46,8,50,6.580371345,0,0,28000000
13104-629,47,6,30,6.580371345,0,0,19000000
13104-630,13,5,20,6.580371345,0,0,25000000
13104-631,18,8,70,6.580371345,1,0,62000000
13104-632,12,4,20,6.580371345,0,0,26000000
13104-633,11,8,20,6.580371345,0,0,19000000
13104-636,19,5,55,6.580371345,0,0,44000000
13104-637,13,5,20,6.580371345,0,0,25000000
13104-639,15,10,40,6.580371345,0,0,25000000
13104-640,47,6,25,6.580371345,0,0,12000000
13104-641,41,8,45,6.580371345,1,0,29000000
13104-643,6,8,30,6.580371345,0,0,33000000
13104-644,12,4,20,6.580371345,0,0,23000000
13104-645,12,5,20,6.580371345,0,0,19000000
13104-650,41,9,35,6.580371345,1,0,18000000
13104-651,41,4,25,6.580371345,0,0,15000000
13104-652,18,8,95,6.580371345,0,0,95000000
13104-653,11,7,20,6.580371345,1,0,21000000
13104-654,47,7,25,6.580371345,0,0,8000000
13104-655,41,8,45,6.580371345,0,0,30000000
13104-656,42,9,40,6.580371345,1,0,23000000
13104-657,6,8,25,6.580371345,0,0,29000000
13104-658,18,3,20,6.580371345,0,0,20000000
13104-659,7,3,50,6.580371345,0,0,43000000
13104-660,18,8,70,6.580371345,0,0,50000000
13104-661,7,3,55,6.580371345,0,0,55000000
13104-664,41,9,45,6.580371345,0,0,21000000
13104-665,22,4,15,6.580371345,1,0,15000000
13104-666,22,4,15,6.580371345,0,0,20000000
13104-667,15,7,20,6.580371345,0,0,21000000
13104-668,33,10,20,6.580371345,0,0,23000000
13104-669,12,5,20,6.580371345,0,0,22000000
13104-670,11,3,145,6.580371345,0,0,110000000
13104-671,11,4,125,6.580371345,0,0,110000000
13104-672,18,3,20,6.580371345,0,0,22000000
13104-673,13,5,20,6.580371345,0,0,24000000
13104-674,18,8,75,6.580371345,1,0,78000000
13104-675,12,5,20,6.580371345,0,0,27000000
13104-676,15,5,65,6.580371345,0,0,52000000
13104-678,18,8,80,6.580371345,0,0,73000000
13104-679,11,7,20,6.580371345,0,0,18000000
13104-680,12,7,20,6.580371345,0,0,13000000
13104-686,13,5,20,6.580371345,0,0,24000000
13104-687,18,8,75,6.580371345,1,0,55000000
13104-688,7,7,25,6.580371345,0,0,25000000
13104-689,13,5,20,6.580371345,0,0,24000000
13104-690,18,8,55,6.580371345,0,0,40000000
13104-691,18,9,20,6.580371345,1,0,17000000
13104-692,13,5,20,6.580371345,0,0,24000000
13104-693,47,7,30,6.580371345,1,0,16000000
13104-694,42,9,30,6.580371345,0,0,15000000
13104-695,21,7,15,6.580371345,0,0,13000000
13104-696,18,8,70,6.580371345,0,0,39000000
13104-697,41,4,50,6.580371345,1,0,34000000
13104-698,18,9,15,6.580371345,1,0,17000000
13104-702,18,9,15,6.580371345,0,0,15000000
13104-703,10,5,45,6.580371345,0,0,38000000
13104-704,41,4,55,6.580371345,1,0,30000000
13104-705,18,8,75,6.580371345,0,0,52000000
13104-706,33,9,20,6.580371345,0,0,12000000
13104-707,12,6,20,6.580371345,0,0,20000000
13104-708,11,3,145,6.580371345,0,0,120000000
13104-709,13,5,20,6.580371345,0,0,23000000
13104-711,13,6,80,9.492733962,0,1,60000000
13104-712,4,6,60,9.492733962,0,1,75000000
13104-713,13,6,30,9.492733962,0,1,33000000
13104-715,32,10,15,9.492733962,0,1,11000000
13104-716,13,6,55,9.492733962,0,1,51000000
13104-717,13,6,55,9.492733962,1,1,51000000
13104-719,13,6,55,9.492733962,0,1,48000000
13104-720,25,10,15,9.492733962,0,1,14000000
13104-721,13,6,60,9.492733962,1,1,50000000
13104-725,15,6,75,9.492733962,0,1,76000000
13104-771,17,8,25,7.768447716,1,0,23000000
13104-772,13,8,20,7.768447716,0,0,21000000
13104-773,15,8,25,7.768447716,0,0,27000000
13104-774,17,8,20,7.768447716,1,0,19000000
13104-775,10,9,15,7.768447716,0,0,24000000
13104-776,10,9,20,7.768447716,0,0,24000000
13104-777,15,6,45,7.768447716,0,0,24000000
13104-778,2,9,25,7.768447716,0,0,31000000
13104-779,15,7,20,7.768447716,0,0,23000000
13104-780,2,9,20,7.768447716,0,0,31000000
13104-783,11,5,55,7.768447716,0,0,50000000
13104-784,47,10,55,7.768447716,0,0,39000000
13104-785,2,9,35,7.768447716,0,0,44000000
13104-786,2,8,25,7.768447716,0,0,33000000
13104-787,2,9,20,7.768447716,0,0,33000000
13104-788,2,9,40,7.768447716,0,0,43000000
13104-789,47,10,50,7.768447716,1,0,43000000
13104-791,22,7,15,7.768447716,0,0,19000000
13104-792,1,7,25,7.768447716,0,0,34000000
13104-793,1,6,25,7.768447716,0,0,34000000
13104-794,1,6,25,7.768447716,0,0,35000000
13104-797,2,9,25,7.768447716,0,0,34000000
13104-798,13,8,20,7.768447716,0,0,20000000
13104-799,13,8,20,7.768447716,0,0,22000000
13104-801,2,9,20,7.768447716,0,0,31000000
13104-802,2,9,20,7.768447716,0,0,31000000
13104-803,47,10,55,7.768447716,0,0,32000000
13104-807,17,7,20,7.768447716,0,0,19000000
13104-808,23,10,45,7.768447716,0,0,36000000
13104-809,22,5,15,7.768447716,0,0,18000000
13104-810,48,6,45,7.768447716,1,0,37000000
13104-811,22,5,15,7.768447716,1,0,15000000
13104-812,11,5,60,7.768447716,1,0,57000000
