id,bukkenName,years,minutes,sqrm,distance,renovate,express,price,rooms,station,floar,windowFacing,address,prg-bukkenNameAnchor href,prg-lazy src,photo-https,displayContainer href,displayPic -https,raSpecRow,relatedKeywordsData,relatedKeywordsData 2,relatedKeywordsData 3,relatedKeywordsData 4,textFeatureComment,relatedKeywordsData 5,緯度,経度
46,セボンブランシェ武蔵野ヴェール,19,20,86.1,20.15478498,1,0,2,3LDK,武蔵境,1,北,東京都三鷹市井口2丁目,https://www.homes.co.jp/mansion/b-35005050001362/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fgvcl3oxj2dkddl6.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fgvcl3oxj2dkddl6.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-35005050001340/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fsvoq3oxj2dkdbw1.jpg,21,駐車場あり,,,,,,35.687904,139.547943
47,セントラルレジデンス新宿シティタワー,19,9,37.02,6.051806582,1,1,4680,ワンルーム,新宿,8,南西,東京都新宿区西新宿7丁目,https://www.homes.co.jp/mansion/b-1404770000163/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F53oj2ruhytmga7j.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F53oj2ruhytmga7j.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1404770000163/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fqdsl2ruhytmga7h.jpg,19,オートロック,エレベーター,大規模マンション,スーパー800m以内,住友不動産（株）旧分譲のタワーマンション／ビッグターミナル新宿駅が徒歩圏内,タワーマンション,35.69558,139.697235
48,パークシティ国分寺,9,8,68.99,27.2642905,1,0,5190,3LDK,西国分寺,3,南,東京都国寺市泉町2丁目,https://www.homes.co.jp/mansion/b-1000980052021/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F9upr2rg6oyvht4l.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F9upr2rg6oyvht4l.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1000980052021/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F1ucv2rg6oyvht4n.jpg,30,ペット相談可,駐車場あり,エレベーター,大規模マンション,・全331戸のビッグコミュニティ  ・武蔵国分寺公園隣接の緑豊かな環境  ・LDに床暖房有  ・ミストサウナ,,35.710812,139.46228
49,サンウッド吉祥寺フラッツ,8,3,64.68,17.02754961,1,0,7980,2LDK,吉祥寺,7,北東,東京都武蔵野市吉祥寺本町1丁目22-5,https://www.homes.co.jp/mansion/b-1312870000112/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Ffr0n2rr8oztq7k1.jpg&width=208&height=138,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Ffr0n2rr8oztq7k1.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1312870000112/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F7xvm2rr8oztq7k3.jpg,25,ペット相談可,オートロック,エレベーター,スーパー800m以内,吉祥寺駅から徒歩3分の好立地。ゆとりある敷地と高級感あるエントランスが特徴です。現況空室です。,角部屋,35.704552,139.582047
50,グローベル　ザ・ステーション水道橋,8,3,40.06,2.552352467,1,0,5180,1LDK,水道橋,11,南,東京都千代田区神田三崎町3丁目,https://www.homes.co.jp/mansion/b-1393080000123/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fwekc2ru31si16a6.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fwekc2ru31si16a6.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1393080000123/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fri4u2ru31si16a5.jpg,11,オートロック,エレベーター,角部屋,,水道橋駅徒歩3分、11階部分東南角住戸,,35.700542,139.752258
51,ベルジュール国立西,18,15,58.32,29.00351351,1,0,2580,3DK,国立,2,西,東京都国立市西1丁目,https://www.homes.co.jp/mansion/b-35005080001083/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzc1i3oxj3r6h6vi.jpg&width=208&height=138,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzc1i3oxj3r6h6vi.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-35005080001083/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fycdb3oxj3r6h6vh.jpg,20,,,,,,,35.69725,139.433334
52,BELISTA国分寺,12,9,66.99,25.95603852,1,1,4680,2SLDK,国分寺,3,東,東京都国寺市本多1丁目,https://www.homes.co.jp/mansion/b-1317300000376/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fn7f22rreci8i7ky.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fn7f22rreci8i7ky.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1317300000376/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F8zwp2rreci8i7kz.jpg,29,ペット相談可,オートロック,エレベーター,スーパー800m以内,（ゆったり2ＳLDK＆WIC）が出ました ＪＲ中央線「国分寺」駅から徒歩9分。 いつでも内覧できます,,35.710812,139.46228
53,ライオンズマンション武蔵国分寺弐番館,15,9,71.86,27.2642905,1,0,3,2SLDK,西国分寺,4,南東,東京都府中市武蔵台3丁目,https://www.homes.co.jp/mansion/b-1352340002012/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fyini2rsn27zqdiq.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fyini2rsn27zqdiq.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1352340002012/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzz9x2rsn27zqdir.jpg,18,ペット相談可,駐車場あり,エレベーター,ペット相談可,大切なペットと一緒に暮らせます。収納に便利なWIC付2SLDK。床暖房付リビングダイニング。,駐車場あり,35.696987,139.461487
54,ＡＸＡＳ国分寺,5,7,79.78,25.95603852,1,1,5880,3LDK,国分寺,5,西,東京都国寺市本多1丁目,https://www.homes.co.jp/mansion/b-35005080001105/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fuumn3oxj3r6h8km.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fuumn3oxj3r6h8km.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-35005080001105/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpash3oxj3r6h8kl.jpg,21,駐車場あり,最上階,,,,,35.710812,139.46228
55,日神パレステージ立川柴崎町,9,5,54.01,31.92562844,1,1,3630,2LDK,立川,2,南西,東京都立川市柴崎町2丁目,https://www.homes.co.jp/mansion/b-1184720010770/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fgcmx2rmp5v68hze.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fgcmx2rmp5v68hze.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1184720010770/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Famn92rmp5v68hzd.jpg,19,ペット相談可,駐車場あり,エレベーター,,H24年築、立川駅徒歩５分、ペット飼育可のマンションです。敷地内駐車場空き有。両面バルコニー。,,35.694939,139.408691
