,uid,years,minutes,sqrm,distance,renovate,express,price,predict
772,13114-634,50,2,50,9.492733962,0,1,36000000,29301893.993471354
773,13114-635,50,3,60,9.492733962,0,1,24000000,35744434.30630943
774,13114-636,19,4,20,9.492733962,0,1,20000000,22118289.377858967
775,13114-637,10,6,20,9.492733962,0,1,24000000,25086953.767618395
776,13114-638,7,2,20,9.492733962,0,1,24000000,30816620.55498994
777,13114-639,15,5,20,9.492733962,0,1,21000000,23324835.964003198
778,13114-640,18,4,40,9.492733962,0,1,31000000,37590417.78848539
779,13114-650,43,6,30,9.492733962,0,1,16000000,14211382.18765407
780,13114-651,50,3,30,9.492733962,1,1,17000000,16674883.181726553
781,13114-652,20,2,70,9.492733962,0,1,44000000,60885587.71075596
782,13114-662,10,6,30,9.492733962,0,1,22000000,32545232.364196125
783,13114-663,13,5,20,9.492733962,0,1,21000000,24435978.398945138
784,13114-664,18,3,40,9.492733962,0,1,25000000,38606156.07222505
785,13114-665,18,3,20,9.492733962,0,1,16000000,23689598.879069597
786,13114-679,50,3,40,9.492733962,0,1,17000000,20827877.113153968
787,13114-680,18,2,60,9.492733962,1,1,50000000,57843736.21427049
788,13114-681,18,3,20,9.492733962,0,1,20000000,23689598.879069597
789,13114-684,30,7,30,9.492733962,1,1,24000000,23723354.39618735
790,13114-685,29,4,15,9.492733962,1,1,11000000,16138722.570010703
791,13114-686,10,6,30,9.492733962,0,1,23000000,32545232.364196125
792,13114-687,13,5,20,9.492733962,0,1,21000000,24435978.398945138
793,13114-688,13,5,20,9.492733962,0,1,23000000,24435978.398945138
794,13114-693,9,7,20,9.492733962,1,1,28000000,27932071.366500016
795,13114-695,42,7,60,9.492733962,1,1,49000000,39431335.57626888
796,13114-696,8,4,55,9.492733962,0,1,54000000,54333547.8580617
797,13114-697,19,5,55,9.492733962,0,1,42000000,47206526.18214136
798,13114-698,50,7,35,9.492733962,0,1,10000000,13035784.679906469
799,13114-699,19,5,60,9.492733962,0,1,60000000,50935665.48043023
800,13114-701,9,7,20,9.492733962,0,1,25000000,24626786.701349705
801,13114-702,50,7,60,9.492733962,1,1,30000000,34986765.83650111
802,13114-703,50,6,40,9.492733962,0,1,18000000,17780662.261934996
803,13114-706,42,6,40,9.492733962,1,1,34000000,25530516.666853074
804,13114-707,9,7,40,9.492733962,1,1,37000000,42848628.55965547
805,13114-708,16,7,20,9.492733962,0,1,24000000,20737788.179052908
806,13114-712,50,6,25,9.492733962,1,1,14000000,9898529.032218713
807,13114-716,48,4,35,9.492733962,0,1,20000000,17194141.966067392
808,13114-717,47,7,35,9.492733962,0,1,22000000,14702498.332319386
809,13114-718,31,10,15,9.492733962,0,1,13000000,5627865.767480496
810,13114-719,1,4,25,9.492733962,0,1,39000000,35847710.590625316
811,13114-720,1,4,25,9.492733962,0,1,51000000,35847710.590625316
812,13114-721,1,4,30,9.492733962,0,1,43000000,39576849.88891418
813,13114-722,32,3,20,9.492733962,1,1,20000000,19216886.49962631
814,13114-723,1,4,30,9.492733962,0,1,42000000,39576849.88891418
815,13114-724,1,4,35,9.492733962,0,1,49000000,43305989.18720305
816,13114-725,49,10,25,9.492733962,1,1,16000000,6391147.114731047
817,13114-726,1,4,30,9.492733962,0,1,38000000,39576849.88891418
818,13114-727,1,4,25,9.492733962,0,1,37000000,35847710.590625316
819,13114-728,1,4,40,9.492733962,0,1,49000000,47035128.48549191
820,13114-729,32,3,20,9.492733962,0,1,14000000,15911601.834475998
821,13114-730,35,6,10,9.492733962,0,1,11000000,3739394.734266378
822,13114-731,1,4,25,9.492733962,0,1,38000000,35847710.590625316
823,13114-732,1,4,40,9.492733962,0,1,54000000,47035128.48549191
824,13114-733,1,4,40,9.492733962,0,1,52000000,47035128.48549191
825,13114-734,48,4,50,9.492733962,0,1,22000000,28381559.86093398
826,13114-735,1,4,30,9.492733962,0,1,43000000,39576849.88891418
827,13114-736,25,11,30,9.492733962,1,1,25000000,22438257.34858357
828,13114-737,1,4,35,9.492733962,0,1,50000000,43305989.18720305
829,13114-738,16,9,80,9.492733962,0,1,70000000,63455983.19103996
830,13114-739,18,3,70,9.492733962,0,1,65000000,60980991.86195824
831,13114-740,11,4,35,9.492733962,1,1,35000000,41055561.67764364
832,13114-741,1,4,30,9.492733962,0,1,42000000,39576849.88891418
833,13114-744,4,1,50,9.492733962,0,1,54000000,55873908.2808757
834,13114-745,10,8,20,9.492733962,0,1,23000000,23055477.200139076
835,13114-746,49,10,35,9.492733962,0,1,14000000,10544141.046158466
836,13114-747,48,4,40,9.492733962,1,1,31000000,24228565.929506566
837,13114-748,1,4,25,9.492733962,0,1,37000000,35847710.590625316
838,13114-749,1,4,25,9.492733962,0,1,38000000,35847710.590625316
839,13114-750,32,3,20,9.492733962,1,1,19000000,19216886.49962631
840,13114-751,1,4,65,9.492733962,0,1,80000000,65680824.97693623
841,13114-754,47,7,45,9.492733962,1,1,28000000,25466061.594047423
842,13114-755,34,6,15,9.492733962,0,1,12000000,8024105.250026219
843,13114-756,5,8,25,9.492733962,0,1,25000000,29562472.585782796
844,13114-757,35,4,15,9.492733962,0,1,7000000,9500010.600034565
845,13114-758,35,4,15,9.492733962,1,1,14000000,12805295.265184876
846,13114-759,11,4,30,9.492733962,0,1,31000000,34021137.71420447
847,13114-760,18,3,60,9.492733962,0,1,55000000,53522713.26538052
848,13114-761,14,2,35,9.492733962,0,1,27000000,38115039.92755973
849,13114-762,18,5,20,9.492733962,0,1,22000000,21658122.31159028
850,13114-763,49,10,70,9.492733962,1,1,43000000,39953400.79933082
851,13114-764,21,5,45,9.492733962,0,1,41000000,38637105.15062169
852,13114-771,20,5,55,9.492733962,0,1,30000000,46650954.96467039
853,13114-772,32,3,20,9.492733962,0,1,14000000,15911601.834475998
854,13114-773,18,5,20,9.492733962,0,1,18000000,21658122.31159028
